Run,MNLI dev acc.,Lexical (entailed),Subseq (entailed),Constituent (entailed),Lexical (nonent),Subseq (nonent),Constituent (nonent),Overall accuracy,ln_subject/object_swap,ln_preposition,ln_relative_clause,ln_passive,ln_conjunction,le_relative_clause,le_around_prepositional_phrase,le_around_relative_clause,le_conjunction,le_passive,sn_NP/S,sn_PP_on_subject,sn_relative_clause_on_subject,sn_past_participle,sn_NP/Z,se_conjunction,se_adjective,se_understood_object,se_relative_clause_on_obj,se_PP_on_obj,cn_embedded_under_if,cn_after_if_clause,cn_embedded_under_verb,cn_disjunction,cn_adverb,ce_embedded_under_since,ce_after_since_clause,ce_embedded_under_verb,ce_conjunction,ce_adverb
Run 73,0.8367804,0.9748,0.9984,0.991,0.0526,0.009,0.1662,0.532,0,0.04,0.094,0,0.129,0.99,0.997,0.991,0.896,1,0.001,0.003,0.006,0.013,0.022,0.997,1,1,0.995,1,0.554,0,0.147,0.005,0.125,0.962,1,0.993,1,1
Run 74,0.8444218,0.9614,0.9916,0.9924,0.2592,0.0472,0.1644,0.569366667,0.097,0.376,0.286,0.003,0.534,0.989,1,0.992,0.826,1,0.016,0.085,0.039,0.001,0.095,0.963,1,1,0.995,1,0.533,0.004,0.192,0.011,0.082,0.962,1,1,1,1
Run 75,0.8438105,0.9366,0.994,0.9906,0.3616,0.0572,0.1828,0.587133333,0.161,0.528,0.417,0.003,0.699,0.958,0.993,0.991,0.741,1,0.003,0.138,0.089,0.005,0.051,0.975,1,1,0.995,1,0.519,0.009,0.31,0.022,0.054,0.955,1,0.998,1,1
Run 76,0.83922565,0.967,0.9908,0.9782,0.1278,0.0376,0.0984,0.5333,0.008,0.209,0.166,0,0.256,0.99,0.998,0.976,0.871,1,0.034,0.044,0.018,0.009,0.083,0.997,1,0.982,0.975,1,0.381,0,0.105,0.001,0.005,0.907,1,0.984,1,1
Run 77,0.843301,0.9598,0.9964,0.9916,0.2046,0.0474,0.103,0.550466667,0.07,0.359,0.242,0.001,0.351,0.972,0.996,0.989,0.842,1,0.009,0.115,0.058,0.002,0.053,0.986,1,1,0.996,1,0.321,0.001,0.155,0.009,0.029,0.964,1,0.994,1,1
Run 78,0.8452369,0.9682,0.9974,0.9982,0.243,0.0378,0.082,0.554433333,0.104,0.44,0.319,0.001,0.351,0.98,0.996,0.996,0.869,1,0.019,0.104,0.04,0.002,0.024,0.993,1,1,0.994,1,0.257,0.003,0.11,0,0.04,0.992,1,0.999,1,1
Run 79,0.8440143,0.9736,0.9976,0.9832,0.2136,0.022,0.1306,0.553433333,0.151,0.328,0.217,0.001,0.371,0.989,1,0.993,0.886,1,0.005,0.04,0.024,0.002,0.039,0.99,1,1,0.998,1,0.462,0.015,0.094,0.002,0.08,0.932,1,0.984,1,1
Run 80,0.84533876,0.9478,0.9852,0.9948,0.29,0.047,0.1126,0.5629,0.135,0.428,0.316,0,0.571,0.988,1,0.997,0.754,1,0.007,0.13,0.07,0.002,0.026,0.929,1,1,0.997,1,0.494,0,0.054,0.004,0.011,0.978,1,0.996,1,1
Run 81,0.84472746,0.953,0.99,0.9906,0.3002,0.0778,0.0922,0.5673,0.212,0.441,0.376,0,0.472,0.953,0.998,0.994,0.82,1,0.018,0.206,0.106,0.005,0.054,0.959,1,1,0.991,1,0.355,0.001,0.062,0.005,0.038,0.953,1,1,1,1
Run 82,0.8446256,0.9592,0.9948,0.9884,0.2168,0.0498,0.2386,0.5746,0.061,0.336,0.264,0.001,0.422,0.973,1,0.987,0.836,1,0.017,0.088,0.072,0.003,0.069,0.979,1,1,0.995,1,0.62,0,0.416,0.008,0.149,0.95,1,0.992,1,1
Run 83,0.84493124,0.9514,0.9946,0.9968,0.2854,0.0334,0.0956,0.559533333,0.163,0.365,0.336,0.002,0.561,0.983,1,0.992,0.782,1,0.008,0.064,0.032,0.003,0.06,0.976,1,1,0.997,1,0.325,0.001,0.086,0,0.066,0.985,1,0.999,1,1
Run 84,0.8438105,0.9538,0.9902,0.9956,0.2572,0.0402,0.1226,0.559933333,0.051,0.394,0.265,0.001,0.575,0.986,0.999,0.991,0.794,0.999,0.023,0.087,0.047,0.003,0.041,0.961,1,1,0.99,1,0.375,0,0.206,0.001,0.031,0.981,1,0.997,1,1
Run 85,0.8464595,0.9432,0.9888,0.9934,0.4338,0.0948,0.161,0.6025,0.316,0.63,0.498,0.011,0.714,0.965,0.993,0.986,0.773,0.999,0.027,0.262,0.115,0.005,0.065,0.956,1,1,0.988,1,0.431,0.007,0.269,0.005,0.093,0.967,1,1,1,1
Run 86,0.84370863,0.9646,0.9934,0.9992,0.192,0.026,0.1046,0.546633333,0.071,0.284,0.187,0,0.418,0.988,0.999,0.996,0.84,1,0.009,0.058,0.012,0.002,0.049,0.968,1,0.999,1,1,0.411,0.001,0.085,0,0.026,0.996,1,1,1,1
Run 87,0.84411615,0.969,0.9952,0.9952,0.2186,0.0332,0.073,0.547366667,0.178,0.317,0.241,0,0.357,0.988,1,0.991,0.866,1,0.011,0.075,0.038,0,0.042,0.977,1,1,0.999,1,0.198,0.009,0.123,0.007,0.028,0.98,1,0.996,1,1
Run 88,0.8419766,0.946,0.9966,0.992,0.4258,0.0674,0.1436,0.595233333,0.452,0.619,0.479,0.004,0.575,0.96,0.996,0.992,0.788,0.994,0.025,0.134,0.087,0.005,0.086,0.988,1,1,0.995,1,0.35,0.002,0.284,0.007,0.075,0.977,1,0.983,1,1
Run 89,0.83739173,0.9766,0.9984,0.9782,0.056,0.0218,0.1598,0.5318,0,0.062,0.099,0,0.119,0.987,0.993,0.988,0.915,1,0.005,0.017,0.023,0.005,0.059,0.998,1,1,0.995,0.999,0.501,0,0.228,0.016,0.054,0.961,1,0.93,1,1
Run 90,0.8421803,0.958,0.9888,0.9836,0.132,0.0258,0.1344,0.5371,0.003,0.168,0.163,0,0.326,0.98,1,0.992,0.818,1,0.007,0.054,0.025,0.002,0.041,0.962,1,0.985,0.997,1,0.43,0,0.144,0.012,0.086,0.934,1,0.984,1,1
Run 91,0.845135,0.9528,0.9908,0.9904,0.2812,0.0574,0.1142,0.564466667,0.201,0.426,0.336,0.007,0.436,0.976,0.996,0.984,0.81,0.998,0.006,0.132,0.034,0.015,0.1,0.986,1,0.979,0.989,1,0.388,0.002,0.149,0.004,0.028,0.954,1,0.998,1,1
Run 92,0.84595007,0.968,0.9944,0.9912,0.3256,0.0662,0.1204,0.577633333,0.299,0.498,0.416,0.004,0.411,0.983,0.999,0.997,0.862,0.999,0.029,0.131,0.086,0,0.085,0.98,1,1,0.992,1,0.306,0,0.224,0.001,0.071,0.972,1,0.984,1,1
Run 93,0.84452367,0.9676,0.9972,0.9986,0.3636,0.0522,0.1314,0.5851,0.376,0.508,0.44,0.003,0.491,0.975,1,0.993,0.871,0.999,0.018,0.12,0.105,0.001,0.017,0.988,1,1,0.998,1,0.308,0.001,0.245,0,0.103,0.995,1,0.998,1,1
Run 94,0.8427916,0.956,0.9906,0.9856,0.3518,0.059,0.1576,0.583433333,0.243,0.516,0.37,0.011,0.619,0.979,0.999,0.992,0.81,1,0.024,0.126,0.095,0.001,0.049,0.96,1,1,0.993,1,0.45,0.004,0.208,0,0.126,0.946,1,0.982,1,1
Run 95,0.8464595,0.959,0.9954,0.996,0.4888,0.0684,0.1286,0.606033333,0.592,0.664,0.572,0.04,0.576,0.951,0.993,0.994,0.857,1,0.013,0.177,0.116,0,0.036,0.981,1,1,0.996,1,0.314,0.007,0.224,0.004,0.094,0.981,1,0.999,1,1
Run 96,0.84350485,0.9548,0.9952,0.9896,0.3006,0.074,0.1654,0.579933333,0.146,0.436,0.375,0.002,0.544,0.977,0.997,0.985,0.815,1,0.016,0.184,0.1,0.002,0.068,0.984,1,1,0.992,1,0.548,0.016,0.164,0.008,0.091,0.949,1,0.999,1,1
Run 97,0.84014267,0.957,0.9844,0.9856,0.1462,0.0404,0.1562,0.544966667,0.032,0.257,0.19,0,0.252,0.966,0.982,0.982,0.855,1,0.016,0.08,0.009,0.012,0.085,0.965,1,0.976,0.986,0.995,0.502,0.001,0.226,0.006,0.046,0.933,0.999,0.996,1,1
Run 98,0.8476821,0.9592,0.9882,0.9906,0.4382,0.0888,0.1246,0.598266667,0.432,0.618,0.482,0.042,0.617,0.959,0.998,0.992,0.847,1,0.038,0.237,0.131,0.001,0.037,0.946,1,1,0.995,1,0.506,0.008,0.095,0.001,0.013,0.958,1,0.995,1,1
Run 99,0.8411615,0.9296,0.984,0.985,0.5452,0.1402,0.1768,0.6268,0.565,0.763,0.668,0.007,0.723,0.95,0.976,0.979,0.743,1,0.048,0.346,0.234,0.011,0.062,0.945,1,0.999,0.977,0.999,0.506,0,0.306,0.015,0.057,0.944,1,0.981,1,1
Minimum,0.83667856,0.9296,0.984,0.9616,0.0524,0.009,0.0322,0.5271,0,0.039,0.094,0,0.119,0.938,0.976,0.97,0.717,0.994,0.001,0.003,0.004,0,0.017,0.929,0.999,0.953,0.975,0.995,0.138,0,0.015,0,0.003,0.812,0.998,0.93,1,1
Maximum,0.8476821,0.9774,0.999,0.9992,0.5452,0.1402,0.2386,0.6268,0.662,0.763,0.668,0.042,0.723,0.997,1,1,0.916,1,0.048,0.346,0.234,0.02,0.125,0.999,1,1,1,1,0.697,0.032,0.416,0.031,0.173,0.997,1,1,1,1
Mean,0.843392765,0.958374,0.993344,0.990458,0.276572,0.051832,0.130492,0.566845333,0.19021,0.41129,0.32856,0.005,0.4478,0.97553,0.99646,0.98967,0.83055,0.99966,0.01826,0.11585,0.065,0.00427,0.05578,0.97623,0.99999,0.99786,0.99285,0.99979,0.41091,0.00363,0.17306,0.00496,0.0599,0.95973,0.99997,0.99259,1,1
Standard deviation,0.00241974,0.011357182,0.003697783,0.005746166,0.123642852,0.024160068,0.040625279,0.023553759,0.173032565,0.1768656,0.139395399,0.008767479,0.152459433,0.012049104,0.004695624,0.005692552,0.048016701,0.000781348,0.010085113,0.070473345,0.044295381,0.004382829,0.022602664,0.015962617,0.0001,0.006435413,0.005278841,0.000769297,0.121020417,0.006074712,0.084225985,0.006253758,0.037657816,0.024770402,0.000222702,0.009960624,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
